music_neu_3
0 0:0.05 1:0.55 2:0.4 
0 0:0.111111111111 1:0.555555555556 2:0.333333333333 
0 0:0.0 1:0.714285714286 2:0.285714285714 
-1 0:0.176470588235 1:0.470588235294 2:0.352941176471 

electronics_neu_22
0 0:0.0 1:1.0 2:0.0 
0 0:0.0 1:0.857142857143 2:0.142857142857 
-1 0:0.333333333333 1:0.0 2:0.666666666667 
0 0:0.166666666667 1:0.555555555556 2:0.277777777778 
0 0:0.181818181818 1:0.454545454545 2:0.363636363636 
0 0:0.0714285714286 1:0.642857142857 2:0.285714285714 
0 0:0.411764705882 1:0.529411764706 2:0.0588235294118 
0 0:0.454545454545 1:0.545454545455 2:0.0 
0 0:0.2 1:0.8 2:0.0 
0 0:0.333333333333 1:0.666666666667 2:0.0 
0 0:0.0 1:1.0 2:0.0 

videogames_pos_4
0 0:0.272727272727 1:0.727272727273 2:0.0 
0 0:0.461538461538 1:0.461538461538 2:0.0769230769231 
0 0:0.25 1:0.75 2:0.0 
-1 0:0.333333333333 1:0.666666666667 2:0.0 
0 0:0.333333333333 1:0.533333333333 2:0.133333333333 
0 0:0.0 1:1.0 2:0.0 
0 0:0.230769230769 1:0.538461538462 2:0.230769230769 
-1 0:0.25 1:0.666666666667 2:0.0833333333333 
0 0:0.0 1:0.882352941176 2:0.117647058824 
0 0:0.3 1:0.6 2:0.1 
0 0:0.333333333333 1:0.666666666667 2:0.0 
0 0:0.125 1:0.875 2:0.0 
-1 0:0.294117647059 1:0.647058823529 2:0.0588235294118 
-1 0:0.4 1:0.5 2:0.1 
0 0:0.4 1:0.6 2:0.0 
-1 0:0.411764705882 1:0.529411764706 2:0.0588235294118 
0 0:0.157894736842 1:0.842105263158 2:0.0 
0 0:0.285714285714 1:0.571428571429 2:0.142857142857 
0 0:0.428571428571 1:0.571428571429 2:0.0 
0 0:0.363636363636 1:0.636363636364 2:0.0 
0 0:0.142857142857 1:0.714285714286 2:0.142857142857 
0 0:0.25 1:0.75 2:0.0 
-1 0:0.333333333333 1:0.5 2:0.166666666667 
-1 0:0.25 1:0.625 2:0.125 
-1 0:0.4 1:0.3 2:0.3 
-1 0:0.0645161290323 1:0.612903225806 2:0.322580645161 
-1 0:0.125 1:0.5 2:0.375 
-1 0:0.238095238095 1:0.619047619048 2:0.142857142857 
0 0:0.333333333333 1:0.5 2:0.166666666667 
0 0:0.111111111111 1:0.722222222222 2:0.166666666667 
0 0:0.333333333333 1:0.444444444444 2:0.222222222222 
-1 0:0.3 1:0.5 2:0.2 
0 0:0.25 1:0.25 2:0.5 
-1 0:0.2 1:0.6 2:0.2 
0 0:0.272727272727 1:0.545454545455 2:0.181818181818 
-1 0:0.25 1:0.583333333333 2:0.166666666667 
-1 0:0.285714285714 1:0.142857142857 2:0.571428571429 
-1 0:0.333333333333 1:0.416666666667 2:0.25 
-1 0:0.4 1:0.6 2:0.0 
0 0:0.08 1:0.84 2:0.08 
0 0:0.285714285714 1:0.571428571429 2:0.142857142857 
-1 0:0.6 1:0.4 2:0.0 
-1 0:0.214285714286 1:0.642857142857 2:0.142857142857 
-1 0:0.727272727273 1:0.272727272727 2:0.0 
-1 0:0.259259259259 1:0.666666666667 2:0.0740740740741 
0 0:0.0 1:0.941176470588 2:0.0588235294118 
0 0:0.235294117647 1:0.764705882353 2:0.0 
0 0:0.3 1:0.7 2:0.0 
0 0:0.0714285714286 1:0.857142857143 2:0.0714285714286 
-1 0:0.333333333333 1:0.666666666667 2:0.0 
0 0:0.0 1:1.0 2:0.0 
-1 0:0.4 1:0.4 2:0.2 
0 0:0.0 1:1.0 2:0.0 
0 0:0.16 1:0.84 2:0.0 
0 0:0.0 1:1.0 2:0.0 
0 0:0.3 1:0.6 2:0.1 
0 0:0.0769230769231 1:0.923076923077 2:0.0 
0 0:0.0833333333333 1:0.75 2:0.166666666667 
0 0:0.5 1:0.25 2:0.25 
0 0:0.6 1:0.4 2:0.0 
0 0:0.545454545455 1:0.454545454545 2:0.0 
0 0:0.333333333333 1:0.333333333333 2:0.333333333333 
0 0:0.166666666667 1:0.666666666667 2:0.166666666667 
0 0:0.0 1:1.0 2:0.0 
1 0:0.153846153846 1:0.692307692308 2:0.153846153846 

electronics_pos_50
0 0:0.0 1:1.0 2:0.0 
0 0:0.333333333333 1:0.333333333333 2:0.333333333333 
0 0:0.0 1:0.857142857143 2:0.142857142857 
0 0:0.142857142857 1:0.571428571429 2:0.285714285714 
0 0:0.142857142857 1:0.714285714286 2:0.142857142857 
0 0:0.2 1:0.1 2:0.7 
0 0:0.0 1:0.888888888889 2:0.111111111111 
0 0:0.25 1:0.75 2:0.0 

books_neg_51
0 0:0.125 1:0.875 2:0.0 
0 0:0.357142857143 1:0.5 2:0.142857142857 
0 0:0.0909090909091 1:0.727272727273 2:0.181818181818 
0 0:0.333333333333 1:0.666666666667 2:0.0 
0 0:0.375 1:0.625 2:0.0 
0 0:0.1 1:0.9 2:0.0 
0 0:0.0 1:1.0 2:0.0 
0 0:0.25 1:0.583333333333 2:0.166666666667 
0 0:0.0 1:1.0 2:0.0 
0 0:0.0 1:1.0 2:0.0 
0 0:0.222222222222 1:0.777777777778 2:0.0 
0 0:0.0810810810811 1:0.864864864865 2:0.0540540540541 
0 0:0.625 1:0.375 2:0.0 
0 0:0.25 1:0.75 2:0.0 
0 0:0.833333333333 1:0.166666666667 2:0.0 
0 0:0.666666666667 1:0.333333333333 2:0.0 
0 0:0.375 1:0.5 2:0.125 
0 0:0.375 1:0.625 2:0.0 
0 0:0.5 1:0.5 2:0.0 
-1 0:0.5 1:0.5 2:0.0 
-1 0:0.5 1:0.5 2:0.0 
0 0:0.0714285714286 1:0.928571428571 2:0.0 
0 0:0.315789473684 1:0.631578947368 2:0.0526315789474 
-1 0:1.0 1:0.0 2:0.0 

dvds_neu_35
0 0:0.2 1:0.8 2:0.0 
0 0:0.0 1:1.0 2:0.0 
0 0:0.25 1:0.75 2:0.0 
0 0:0.444444444444 1:0.555555555556 2:0.0 
0 0:0.111111111111 1:0.888888888889 2:0.0 
0 0:0.444444444444 1:0.555555555556 2:0.0 
0 0:0.333333333333 1:0.666666666667 2:0.0 

videogames_neg_1
0 0:0.0 1:0.75 2:0.25 
0 0:0.2 1:0.8 2:0.0 
0 0:0.4 1:0.4 2:0.2 
0 0:0.2 1:0.7 2:0.1 
0 0:0.529411764706 1:0.470588235294 2:0.0 
0 0:0.5 1:0.333333333333 2:0.166666666667 
0 0:0.272727272727 1:0.636363636364 2:0.0909090909091 

dvds_neg_8
-1 0:0.666666666667 1:0.333333333333 2:0.0 
0 0:0.0 1:1.0 2:0.0 
0 0:0.590909090909 1:0.340909090909 2:0.0681818181818 
-1 0:0.536585365854 1:0.463414634146 2:0.0 
-1 0:1.0 1:0.0 2:0.0 
0 0:0.307692307692 1:0.538461538462 2:0.153846153846 

videogames_pos_7
0 0:0.4 1:0.5 2:0.1 
0 0:0.0833333333333 1:0.916666666667 2:0.0 
0 0:0.0 1:1.0 2:0.0 
0 0:0.181818181818 1:0.363636363636 2:0.454545454545 
0 0:0.1 1:0.85 2:0.05 
0 0:0.5 1:0.4375 2:0.0625 
-1 0:0.4 1:0.4 2:0.2 

music_neg_11
0 0:0.0 1:1.0 2:0.0 
0 0:0.222222222222 1:0.777777777778 2:0.0 
0 0:0.32 1:0.6 2:0.08 
0 0:0.538461538462 1:0.461538461538 2:0.0 
0 0:0.6 1:0.3 2:0.1 
-1 0:0.75 1:0.25 2:0.0 

dvds_neg_14
0 0:0.333333333333 1:0.5 2:0.166666666667 
0 0:0.363636363636 1:0.590909090909 2:0.0454545454545 
0 0:0.125 1:0.75 2:0.125 
0 0:0.333333333333 1:0.666666666667 2:0.0 
0 0:0.5 1:0.5 2:0.0 
0 0:0.3125 1:0.6875 2:0.0 
0 0:0.0625 1:0.875 2:0.0625 
0 0:0.411764705882 1:0.588235294118 2:0.0 
0 0:0.166666666667 1:0.833333333333 2:0.0 

dvds_pos_23
0 0:0.0 1:1.0 2:0.0 
0 0:0.0266666666667 1:0.906666666667 2:0.0666666666667 
0 0:0.0416666666667 1:0.916666666667 2:0.0416666666667 
0 0:0.0833333333333 1:0.916666666667 2:0.0 
0 0:0.0526315789474 1:0.842105263158 2:0.105263157895 
0 0:0.0555555555556 1:0.944444444444 2:0.0 
0 0:0.0869565217391 1:0.913043478261 2:0.0 
0 0:0.0185185185185 1:0.5 2:0.481481481481 
0 0:0.0833333333333 1:0.4375 2:0.479166666667 
0 0:0.0344827586207 1:0.379310344828 2:0.586206896552 
0 0:0.1 1:0.8 2:0.1 
0 0:0.0 1:1.0 2:0.0 

books_neg_142
0 0:0.166666666667 1:0.833333333333 2:0.0 
0 0:0.0 1:0.75 2:0.25 
0 0:0.142857142857 1:0.857142857143 2:0.0 
0 0:0.285714285714 1:0.714285714286 2:0.0 
0 0:0.125 1:0.875 2:0.0 
0 0:0.285714285714 1:0.571428571429 2:0.142857142857 
0 0:0.153846153846 1:0.692307692308 2:0.153846153846 
0 0:0.0 1:0.666666666667 2:0.333333333333 
0 0:0.333333333333 1:0.666666666667 2:0.0 
0 0:0.0 1:1.0 2:0.0 
0 0:0.4 1:0.6 2:0.0 
0 0:0.363636363636 1:0.545454545455 2:0.0909090909091 
0 0:0.0 1:1.0 2:0.0 
0 0:0.0 1:1.0 2:0.0 
0 0:0.181818181818 1:0.727272727273 2:0.0909090909091 

dvds_neu_75
0 0:0.0 1:1.0 2:0.0 
0 0:0.0 1:0.857142857143 2:0.142857142857 
0 0:0.0526315789474 1:0.894736842105 2:0.0526315789474 
0 0:0.5 1:0.357142857143 2:0.142857142857 
0 0:0.52380952381 1:0.428571428571 2:0.047619047619 
0 0:0.214285714286 1:0.642857142857 2:0.142857142857 
0 0:0.6 1:0.4 2:0.0 
0 0:0.4 1:0.6 2:0.0 
0 0:0.5 1:0.5 2:0.0 
0 0:0.03125 1:0.9375 2:0.03125 
0 0:0.0909090909091 1:0.727272727273 2:0.181818181818 

dvds_neu_51
0 0:0.0909090909091 1:0.818181818182 2:0.0909090909091 
0 0:0.2 1:0.7 2:0.1 
0 0:0.4 1:0.6 2:0.0 
0 0:0.142857142857 1:0.714285714286 2:0.142857142857 
0 0:0.181818181818 1:0.727272727273 2:0.0909090909091 
0 0:0.272727272727 1:0.636363636364 2:0.0909090909091 
0 0:0.428571428571 1:0.571428571429 2:0.0 
0 0:0.166666666667 1:0.833333333333 2:0.0 
0 0:0.2 1:0.8 2:0.0 

videogames_neu_4
0 0:0.222222222222 1:0.666666666667 2:0.111111111111 
0 0:0.558139534884 1:0.395348837209 2:0.046511627907 
0 0:0.0 1:1.0 2:0.0 
0 0:0.181818181818 1:0.818181818182 2:0.0 
0 0:0.2 1:0.733333333333 2:0.0666666666667 
0 0:0.0909090909091 1:0.818181818182 2:0.0909090909091 
0 0:0.588235294118 1:0.235294117647 2:0.176470588235 
0 0:0.166666666667 1:0.666666666667 2:0.166666666667 
0 0:0.529411764706 1:0.470588235294 2:0.0 
0 0:0.428571428571 1:0.571428571429 2:0.0 
0 0:0.210526315789 1:0.684210526316 2:0.105263157895 
0 0:0.111111111111 1:0.666666666667 2:0.222222222222 
0 0:0.1 1:0.6 2:0.3 
0 0:0.727272727273 1:0.272727272727 2:0.0 
0 0:0.136363636364 1:0.772727272727 2:0.0909090909091 
0 0:0.1 1:0.5 2:0.4 
0 0:0.333333333333 1:0.666666666667 2:0.0 
0 0:0.666666666667 1:0.333333333333 2:0.0 
0 0:0.384615384615 1:0.538461538462 2:0.0769230769231 
0 0:0.384615384615 1:0.615384615385 2:0.0 

dvds_pos_9
0 0:0.0612244897959 1:0.448979591837 2:0.489795918367 
0 0:0.0 1:0.545454545455 2:0.454545454545 
0 0:0.0 1:0.880952380952 2:0.119047619048 
0 0:0.0740740740741 1:0.851851851852 2:0.0740740740741 
0 0:0.0454545454545 1:0.954545454545 2:0.0 
0 0:0.04 1:0.88 2:0.08 
0 0:0.0188679245283 1:0.849056603774 2:0.132075471698 
0 0:0.0 1:0.333333333333 2:0.666666666667 
0 0:0.0666666666667 1:0.4 2:0.533333333333 
0 0:0.0285714285714 1:0.885714285714 2:0.0857142857143 
0 0:0.0 1:0.6 2:0.4 

dvds_neg_20
0 0:0.444444444444 1:0.555555555556 2:0.0 
0 0:0.0 1:1.0 2:0.0 
0 0:0.0 1:1.0 2:0.0 
0 0:0.666666666667 1:0.333333333333 2:0.0 
0 0:0.0 1:0.555555555556 2:0.444444444444 
0 0:0.666666666667 1:0.333333333333 2:0.0 
0 0:0.25 1:0.75 2:0.0 
-1 0:0.666666666667 1:0.333333333333 2:0.0 

music_neg_117
0 0:0.0714285714286 1:0.714285714286 2:0.214285714286 
0 0:0.235294117647 1:0.764705882353 2:0.0 
0 0:0.181818181818 1:0.636363636364 2:0.181818181818 
0 0:0.333333333333 1:0.666666666667 2:0.0 
0 0:0.304347826087 1:0.608695652174 2:0.0869565217391 
0 0:0.227272727273 1:0.772727272727 2:0.0 
0 0:0.333333333333 1:0.666666666667 2:0.0 
0 0:0.357142857143 1:0.571428571429 2:0.0714285714286 
0 0:0.181818181818 1:0.818181818182 2:0.0 
0 0:0.454545454545 1:0.454545454545 2:0.0909090909091 
0 0:0.133333333333 1:0.866666666667 2:0.0 
0 0:0.0833333333333 1:0.916666666667 2:0.0 
0 0:0.0 1:1.0 2:0.0 
0 0:0.142857142857 1:0.857142857143 2:0.0 
0 0:0.0625 1:0.875 2:0.0625 
0 0:0.428571428571 1:0.428571428571 2:0.142857142857 
0 0:0.125 1:0.875 2:0.0 
0 0:0.444444444444 1:0.555555555556 2:0.0 
0 0:0.2 1:0.7 2:0.1 
0 0:0.222222222222 1:0.777777777778 2:0.0 
0 0:0.555555555556 1:0.444444444444 2:0.0 

electronics_neu_0
0 0:0.230769230769 1:0.769230769231 2:0.0 
0 0:0.0 1:0.666666666667 2:0.333333333333 
0 0:0.4 1:0.2 2:0.4 
0 0:0.333333333333 1:0.5 2:0.166666666667 
0 0:0.428571428571 1:0.571428571429 2:0.0 
0 0:0.461538461538 1:0.461538461538 2:0.0769230769231 
0 0:0.142857142857 1:0.714285714286 2:0.142857142857 

electronics_pos_64
0 0:0.3 1:0.7 2:0.0 
0 0:0.116279069767 1:0.767441860465 2:0.116279069767 
0 0:0.1 1:0.55 2:0.35 
0 0:0.0178571428571 1:0.589285714286 2:0.392857142857 
0 0:0.15 1:0.75 2:0.1 
0 0:0.193548387097 1:0.354838709677 2:0.451612903226 
0 0:0.0 1:0.333333333333 2:0.666666666667 
0 0:0.222222222222 1:0.666666666667 2:0.111111111111 
0 0:0.0 1:1.0 2:0.0 
0 0:0.166666666667 1:0.666666666667 2:0.166666666667 
0 0:0.0769230769231 1:0.307692307692 2:0.615384615385 
0 0:0.0 1:0.888888888889 2:0.111111111111 
0 0:0.0714285714286 1:0.892857142857 2:0.0357142857143 
0 0:0.0909090909091 1:0.818181818182 2:0.0909090909091 
0 0:0.0 1:0.8125 2:0.1875 

videogames_neg_46
0 0:0.428571428571 1:0.571428571429 2:0.0 
0 0:0.6 1:0.4 2:0.0 
0 0:0.428571428571 1:0.357142857143 2:0.214285714286 
0 0:0.333333333333 1:0.666666666667 2:0.0 
0 0:0.363636363636 1:0.636363636364 2:0.0 
0 0:0.2 1:0.8 2:0.0 
0 0:0.25 1:0.75 2:0.0 
0 0:0.444444444444 1:0.333333333333 2:0.222222222222 
0 0:0.166666666667 1:0.833333333333 2:0.0 
0 0:0.470588235294 1:0.470588235294 2:0.0588235294118 
0 0:0.51724137931 1:0.413793103448 2:0.0689655172414 
0 0:0.466666666667 1:0.466666666667 2:0.0666666666667 
0 0:0.5 1:0.375 2:0.125 
0 0:0.388888888889 1:0.611111111111 2:0.0 
0 0:0.45 1:0.45 2:0.1 
0 0:0.5 1:0.5 2:0.0 

videogames_pos_14
-1 0:0.2 1:0.6 2:0.2 
0 0:0.142857142857 1:0.714285714286 2:0.142857142857 
0 0:0.0 1:0.777777777778 2:0.222222222222 
0 0:0.0 1:1.0 2:0.0 
0 0:0.0 1:0.857142857143 2:0.142857142857 
0 0:0.0625 1:0.5 2:0.4375 
0 0:0.0 1:0.714285714286 2:0.285714285714 
0 0:0.0 1:0.5 2:0.5 
0 0:0.1 1:0.4 2:0.5 
0 0:0.142857142857 1:0.5 2:0.357142857143 
0 0:0.0 1:0.409090909091 2:0.590909090909 
0 0:0.0 1:1.0 2:0.0 

books_neu_20
0 0:0.0 1:1.0 2:0.0 
0 0:0.0714285714286 1:0.928571428571 2:0.0 
0 0:0.2 1:0.8 2:0.0 
0 0:0.111111111111 1:0.666666666667 2:0.222222222222 
0 0:0.0714285714286 1:0.857142857143 2:0.0714285714286 
0 0:0.0 1:1.0 2:0.0 
0 0:0.0909090909091 1:0.909090909091 2:0.0 
0 0:0.0 1:1.0 2:0.0 
0 0:0.0 1:0.944444444444 2:0.0555555555556 
0 0:0.0 1:1.0 2:0.0 
0 0:0.0416666666667 1:0.875 2:0.0833333333333 
0 0:0.0357142857143 1:0.964285714286 2:0.0 
0 0:0.125 1:0.833333333333 2:0.0416666666667 
0 0:0.0333333333333 1:0.966666666667 2:0.0 
0 0:0.047619047619 1:0.904761904762 2:0.047619047619 
0 0:0.0 1:1.0 2:0.0 
0 0:0.111111111111 1:0.777777777778 2:0.111111111111 
0 0:0.333333333333 1:0.5 2:0.166666666667 
0 0:0.0 1:1.0 2:0.0 
0 0:0.0 1:0.923076923077 2:0.0769230769231 
0 0:0.125 1:0.625 2:0.25 
0 0:0.222222222222 1:0.777777777778 2:0.0 
0 0:0.0 1:1.0 2:0.0 
0 0:0.0 1:1.0 2:0.0 
0 0:0.2 1:0.8 2:0.0 
0 0:0.0 1:0.8 2:0.2 
0 0:0.0416666666667 1:0.916666666667 2:0.0416666666667 
0 0:0.466666666667 1:0.533333333333 2:0.0 
0 0:0.363636363636 1:0.636363636364 2:0.0 
0 0:0.5 1:0.5 2:0.0 
0 0:0.125 1:0.625 2:0.25 
0 0:0.388888888889 1:0.555555555556 2:0.0555555555556 
0 0:0.0 1:1.0 2:0.0 

dvds_neg_6
-1 0:0.620689655172 1:0.344827586207 2:0.0344827586207 
0 0:0.379310344828 1:0.586206896552 2:0.0344827586207 
0 0:0.428571428571 1:0.428571428571 2:0.142857142857 
-1 0:0.416666666667 1:0.5 2:0.0833333333333 
0 0:0.421052631579 1:0.526315789474 2:0.0526315789474 
-1 0:1.0 1:0.0 2:0.0 

books_neg_102
0 0:0.1 1:0.8 2:0.1 
0 0:0.0 1:1.0 2:0.0 
0 0:0.0 1:1.0 2:0.0 
0 0:0.133333333333 1:0.866666666667 2:0.0 
0 0:0.454545454545 1:0.454545454545 2:0.0909090909091 
0 0:0.25 1:0.75 2:0.0 
-1 0:0.166666666667 1:0.833333333333 2:0.0 
0 0:0.166666666667 1:0.75 2:0.0833333333333 
0 0:0.0 1:1.0 2:0.0 
0 0:0.0 1:1.0 2:0.0 
0 0:0.5 1:0.5 2:0.0 
0 0:0.2 1:0.8 2:0.0 
0 0:0.0 1:1.0 2:0.0 
0 0:0.0 1:1.0 2:0.0 
0 0:0.0 1:0.8 2:0.2 

books_neg_29
0 0:0.0526315789474 1:0.842105263158 2:0.105263157895 
0 0:0.0714285714286 1:0.928571428571 2:0.0 
0 0:0.181818181818 1:0.727272727273 2:0.0909090909091 
0 0:0.0 1:0.941176470588 2:0.0588235294118 
0 0:0.0526315789474 1:0.947368421053 2:0.0 
0 0:0.0 1:1.0 2:0.0 
0 0:0.125 1:0.875 2:0.0 
0 0:0.0666666666667 1:0.933333333333 2:0.0 
0 0:0.125 1:0.75 2:0.125 
-1 0:0.0227272727273 1:0.863636363636 2:0.113636363636 
0 0:0.0 1:1.0 2:0.0 
0 0:0.4 1:0.533333333333 2:0.0666666666667 
0 0:0.153846153846 1:0.769230769231 2:0.0769230769231 
0 0:0.304347826087 1:0.695652173913 2:0.0 
-1 0:0.7 1:0.2 2:0.1 
0 0:0.0 1:0.714285714286 2:0.285714285714 
